anime title,release_date,genre,ep_nos.,synopsis,video_link,more_info.
Edomae Elf,2023-04-08,ComedySupernatural,"12 eps,          24 min ","For more than four hundred years, the Takamimi Shrine has stood in Tokyo, enshrining the local goddess: Elda, a magical elf summoned from another world. The immortal elf has been served for 15 generations by the family who summoned her in the Edo period. Now, after Koito Koganei turns 16 years old, this responsibility falls onto her.

Serving as Elda's shrine maiden, Koito must balance her responsibilities with her daily school life. This proves to be difficult because Elda is a total social recluse who loves video games, collecting toys, and eating snacks. In an effort to get the lazy shut-in to experience more of the outside world, Koito juggles her time between indulging Elda's various hobbies and getting her to interact with the rest of humanity. Along the way, Koito learns more about the history of the area and what makes the goddess so loved and spoiled by the locals.

[Written by MAL Rewrite]",https://myanimelist.net/anime/52081/Edomae_Elf/video,https://myanimelist.net/anime/52081/Edomae_Elf
Niehime to Kemono no Ou,2023-04-20,FantasyRomance,"24 eps,          23 min ","Located at the end of the world, the Kingdom of Ozmargo is inhabited by beasts of all shapes and forms, ruled by a fearsome nameless king. After a hundred-year war between Ozmargo and the neighboring human kingdom ended, a peace treaty was signed: every year, a sacrifice must be sent to be devoured by the king on the night of revelation.

Sariphi is the 99th and latest human sacrifice. Although frail-looking, she neither fears the king nor has a family or home to return to should she manage to escape from her impending demise. Intrigued by the audacious girl, the king lets Sariphi roam around the palace despite the disapproval of his advisor, Anubis.

Little by little, the king and Sariphi begin to warm up to each other, but the night of revelation is fast approaching. Unbeknownst to them, the fateful day unleashes a series of events that will change the course of destiny of not only Sariphi and the king but also of their respective worlds.

[Written by MAL Rewrite]",https://myanimelist.net/anime/46422/Niehime_to_Kemono_no_Ou/video,https://myanimelist.net/anime/46422/Niehime_to_Kemono_no_Ou
Rokudou no Onna-tachi,2023-04-08,ComedyRomance,"12 eps,          23 min ","Tousuke Rokudou is a first-year attending Aomori High, a school full of delinquents. He is often bullied by his classmates due to his incompatibility with their behavior, the only exceptions being his two good friends who are also social outcasts. Frustrated at the way they are treated, the three wish they could stand up and claim the fun, peaceful school life of their dreams.

However, Tousuke's life takes a drastic turn when he receives a package from his late grandfather containing their family heirloom, a scroll said to possess the power to save him from impending danger. Upon holding the scroll, a sudden glow emanates, leaving a strange mark on Tousuke's forehead.

Thinking that he's received the means to free himself and his friends from their daily treatment, Tousuke is shocked to find out that its effects are far different than what he had imagined. Although his bullying continues, he realizes that the mark from the scroll acts as a charm, capturing the hearts of delinquent girls—in particular, Ranna Himawari, the strongest of them all.

[Written by MAL Rewrite]",https://myanimelist.net/anime/54259/Rokudou_no_Onna-tachi/video,https://myanimelist.net/anime/54259/Rokudou_no_Onna-tachi
Kawaisugi Crisis,2023-04-07,ComedySci-Fi,"12 eps,          23 min ","Upon first seeing Earth from the Azatos Empire's survey ship, Chief Investigator Liza Luna plans to eradicate every lifeform on it immediately, leaving behind only useful resources. While surveying the planet, Liza discovers that human civilization has evolved at a pathetic rate compared to other lifeforms.

Liza makes her way to the surface of the planet to properly inspect and understand its inhabitants. Still convinced that there is nothing beneficial to be found, the investigator makes her way into a cafe to gauge the planet's food culture. Liza walks into a cat cafe, where she meets creatures far cuter than anything else in the galaxy. Motivated by this new discovery, Liza decides to investigate Earth's numerous adorable inhabitants.

[Written by MAL Rewrite]",https://myanimelist.net/anime/53163/Kawaisugi_Crisis/video,https://myanimelist.net/anime/53163/Kawaisugi_Crisis
Birdie Wing: Golf Girls' Story Season 2,2023-04-08,Sports,"? eps,          23 min ","Arriving in Japan, underground golfer Eve wants nothing more than to play a match against Aoi Amawashi, the ""Innocent Tyrant"" prodigy that caught her eye. However, the girls, wishing to finally settle the score on who is the better golfer, will have to wait until the conclusion of the All-Japan Girls' High School Gold Doubles Championship. Now competing together for the Raiou Girls' Academy's golf team, Eve and Aoi decide to work together to claim a win for their institution.

For a chance at defeating their more challenging opponents, both girls must find a way to further develop their golfing styles. However, dangerous figureheads pull strings in the background, making this high school golf tournament much more serious than it appears. In addition, Eve's illusive past resurfaces, making matters between her and Aoi even more complicated than they already were.

[Written by MAL Rewrite]",https://myanimelist.net/anime/52229/Birdie_Wing__Golf_Girls_Story_Season_2/video,https://myanimelist.net/anime/52229/Birdie_Wing__Golf_Girls_Story_Season_2
The Marginal Service,2023-04-12,ActionSci-Fi,"12 eps,          22 min ","Foolhardy police officer Brian Nightraider is dismissed from the force for a history of reckless behavior that ultimately resulted in his partner's death. While wallowing in self-pity, the disgraced officer receives a curious invitation from the United Nations Immigration Bureau Special Investigation Unit. He has been recruited to join the Marginal Service, a secret underground branch of the UN tasked with handling Borderlanders.

Indistinguishable from humans, Borderlanders are aliens that peacefully coexist in society. But now, a Borderlander terrorist organization has emerged, manufacturing and distributing a potent drug called Confu. With the Borderlanders' ability to regenerate and blend in as humans, uncovering the drug-trafficking ring will be no easy undertaking. However, the ragtag group at the Marginal Service are not one to back down from a challenge—even as their work exposes some unexpected figures as Borderlanders.

[Written by MAL Rewrite]",https://myanimelist.net/anime/53587/The_Marginal_Service/video,https://myanimelist.net/anime/53587/The_Marginal_Service
Kizuna no Allele,2023-04-04,,"12 eps,          23 min ","It has been five years since AI Kizuna disappeared from the virtual world. Despite being an AI, she has captured the hearts of her fans, including Miracle, an aspiring virtual artist, with her performances. As Miracle attends ADEN Academy, a school for virtual artists, she makes new friends while learning more about singing, performing, and streaming. 

Miracle's ultimate goal is to win the prestigious Lapin d'Or at the Virtual Grid Awards, an achievement Kizuna has earned five consecutive times. To do this, she works to improve her channel ranking through streams and performances, trying to stand out among other students at the academy. Determined to fulfill her dream of inspiring others the same way Kizuna inspired her, the budding star will not give up.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51139/Kizuna_no_Allele/video,https://myanimelist.net/anime/51139/Kizuna_no_Allele
Tokyo Mew Mew New ♡ 2nd Season,2023-04-05,FantasyRomanceSci-Fi,"12 eps,          23 min ","After a successful showdown at Tokyo Tower, the Mew Mew girls enjoy a temporary respite. Now that Ichigo Momomiya and Masaya Aoyama have confessed their feelings to each other, Ichigo is overjoyed to spend time with her new boyfriend. However, their quick break gets interrupted, and soon the girls must battle against the Chimera Anima yet again. When things go awry in the ensuing fight, Ichigo is placed in grave danger.

Just when things look most bleak, the mysterious Blue Knight arrives and saves Ichigo, proclaiming that he was born to protect her, before disappearing into thin air. With the fate of the world on their shoulders and the identity of the Blue Knight in question, the Mew Mew girls must strive to create balance between alien-fighting and their personal lives.

[Written by MAL Rewrite]",https://myanimelist.net/anime/53097/Tokyo_Mew_Mew_New_%E2%99%A1_2nd_Season/video,https://myanimelist.net/anime/53097/Tokyo_Mew_Mew_New_♡_2nd_Season
The IDOLM@STER Cinderella Girls: U149,2023-04-06,,"12 eps,          24 min ","It's time to pull back the curtain on a new Cinderella Girls story! Hardworking girls and up-and-coming producers team up to shoot for the stars and become the next big idol! Between their gorgeous outfits, electrifying performances, and distractingly handsome princes, these aspiring idols have a lot to deal with.

(Source: MAL News)",https://myanimelist.net/anime/51536/The_IDOLMSTER_Cinderella_Girls__U149/video,https://myanimelist.net/anime/51536/The_IDOLMSTER_Cinderella_Girls__U149
World Dai Star,2023-04-09,,"12 eps,          24 min ","After Dai Star stage performers exploded in worldwide popularity in the 20th century, 16-year-old Kokona Ootori follows her dream of becoming a World Dai Star by auditioning for the Sirius theatrical troupe.

(Source: ANN)",https://myanimelist.net/anime/53698/World_Dai_Star/video,https://myanimelist.net/anime/53698/World_Dai_Star
Opus.COLORs,2023-04-07,Sci-Fi,"12 eps,          24 min ","Once shunned by the art world, Perception Art has taken the world by storm. The medium has evolved to incorporate all five senses, allowing viewers to completely immerse themselves in pieces of art. As the son of the creators of this movement, Kazuya Yamanashi has inherited his late parents' talent and creativity for Perception Art. Now enrolled at Eisen High School, the first-year has his sights set on becoming the best Perception Artist.

Kazuya has a reason besides ambition to attend this prestigious institution, as he hopes to make amends with his estranged childhood friend, third-year student Kyou Takise. But the rift between them may be difficult to repair since Kyou and Kazuya belong to different streams of study at the school.

As luck would have it, the two are partnered for the exclusive Staircaser competition, in which the winners will represent Eisen for the year. In order to stand a chance against their competitors, Kazuya and Kyou will have to learn to set aside their differences first.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51415/OpusCOLORs/video,https://myanimelist.net/anime/51415/OpusCOLORs
Alice Gear Aegis Expansion,2023-04-04,ActionSci-Fi,"12 eps,          23 min ","Centuries ago, mankind abandoned planet Earth after the Vice, a race of mechanical aliens, drove them from their home into a life adrift in space. Now resigned to starships forged of pieces of Earth’s shattered moon, the final hope for humanity lies in the hands of Actresses, young women born with the ability to wield the only weapons that can harm the Vice: Alice Gears, mechanical suits that can finally turn the tide against the alien incursion.

(Source: HIDIVE)",https://myanimelist.net/anime/50871/Alice_Gear_Aegis_Expansion/video,https://myanimelist.net/anime/50871/Alice_Gear_Aegis_Expansion
Majutsushi Orphen Hagure Tabi: Seiiki-hen,2023-04-12,ActionAdventureDramaFantasy,"12 eps,          23 min ","With no other choice left, Orphen is led by Winona to meet the lord of the Imminent Domain, Almagest. What secrets does he hold?",https://myanimelist.net/anime/54738/Majutsushi_Orphen_Hagure_Tabi__Seiiki-hen/video,https://myanimelist.net/anime/54738/Majutsushi_Orphen_Hagure_Tabi__Seiiki-hen
"Mix: Meisei Story 2nd Season - Nidome no Natsu, Sora no Mukou e",2023-04-01,Sports,"24 eps,          23 min ",Second season of Mix: Meisei Story.,https://myanimelist.net/anime/52614/Mix__Meisei_Story_2nd_Season_-_Nidome_no_Natsu_Sora_no_Mukou_e/video,https://myanimelist.net/anime/52614/Mix__Meisei_Story_2nd_Season_-_Nidome_no_Natsu_Sora_no_Mukou_e
Tousouchuu: Great Mission,2023-04-02,Sci-FiSuspense,"? eps,          23 min ","The anime series is set in the future when humanity migrated to the Moon due to Earth's climate change. It will incorporate original elements unique to the anime, such as human drama about survival, and will feature a diverse field that blurs countries and eras such as Shibuya, the Edo-period era, and London.

(Source: MAL News, edited)",https://myanimelist.net/anime/54040/Tousouchuu__Great_Mission/video,https://myanimelist.net/anime/54040/Tousouchuu__Great_Mission
Bosanimal,2023-04-03,,"? eps,          1 min ",A short anime series based on Sanrio's Bosanimal character line. ,https://myanimelist.net/anime/54630/Bosanimal/video,https://myanimelist.net/anime/54630/Bosanimal
YouTuNya,2023-04-04,Comedy,"15 eps,          1 min ","The anime will focus on the everyday lives of three different streamer cats: Nya, who has a minor channel; Tomoneko, who has a popular channel; and Tsuyoneko, who has a channel right in the middle of the struggle. 

(Source: ANN)",https://myanimelist.net/anime/54781/YouTuNya/video,https://myanimelist.net/anime/54781/YouTuNya
Gunma-chan Season 2,2023-04-08,Slice of Life,"? eps,          24 min ","The second season of Gunma-chan, an anime series based on the Gunma Prefecture mascot character, Gunma-chan.",https://myanimelist.net/anime/54216/Gunma-chan_Season_2/video,https://myanimelist.net/anime/54216/Gunma-chan_Season_2
Sakuretsu! Amabie-hime. Season 2,2023-04-09,Comedy,"? eps,          3 min ",The second season of Sakuretsu! Amabie-hime.,https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/54848/Sakuretsu_Amabie-hime_Season_2
Den Den no Dennou Densha,2023-04-13,Comedy,"12 eps,          5 min ",A 3D short anime featuring active VTubers/VSingers. ,https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/54933/Den_Den_no_Dennou_Densha
Mamekichi Mameko NEET no Nichijou 2nd Season,2023-05-17,Comedy,"? eps,          1 min ",The second season of Mamekichi Mameko NEET no Nichijou. ,https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/55195/Mamekichi_Mameko_NEET_no_Nichijou_2nd_Season
One Piece,1999-10-20,ActionAdventureFantasy,"? eps,          24 min ","Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.

Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.

[Written by MAL Rewrite] ",https://myanimelist.net/anime/21/One_Piece/video,https://myanimelist.net/anime/21/One_Piece
Vinland Saga Season 2,2023-01-10,ActionAdventureDrama,"24 eps,          25 min ","After his father's death and the destruction of his village at the hands of English raiders, Einar wishes for a peaceful life with his family on their newly rebuilt farms. However, fate has other plans: his village is invaded once again. Einar watches helplessly as the marauding Danes burn his lands and slaughter his family. The invaders capture Einar and take him back to Denmark as a slave. 

Einar clings to his mother's final words to survive. He is purchased by Ketil, a kind slave owner and landlord who promises that Einar can regain his freedom in return for working in the fields. Soon, Einar encounters his new partner in farm cultivation—Thorfinn, a dejected and melancholic slave. As Einar and Thorfinn work together toward their freedom, they are haunted by both sins of the past and the ploys of the present. Yet they carry on, grasping for a glimmer of hope, redemption, and peace in a world that is nothing but unjust and unforgiving.

[Written by MAL Rewrite]",https://myanimelist.net/anime/49387/Vinland_Saga_Season_2/video,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
Detective Conan,1996-01-08,AdventureComedyMystery,"? eps,          25 min ","Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Detective Conan follows Shinichi who, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]",https://myanimelist.net/anime/235/Detective_Conan/video,https://myanimelist.net/anime/235/Detective_Conan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",2023-01-08,ActionFantasy,"? eps,          23 min ","As peace returns to the demon realm, Anos Voldigoad wishes nothing more than to put his reputation as the Demon King of Tyranny to rest and go back to being a misfit at the prestigious Demon King Academy. Unfortunately, any tranquility is fleeting: sinister demons, kings, and deities plot Anos's demise from the shadows.

Rumors spread about the ""Child of God,"" a being whose power may rival that of Anos. To uncover the truth and eliminate the potential threat, Anos must journey deep into the land of spirits. However, the spirit world is shrouded in mystery, and it may only be entered after undergoing a series of difficult trials.

With unrivaled power and confidence, Anos braces himself to defeat various formidable enemies with grandiose titles. But he—with the assistance of his trusted allies—will barely have to break a sweat as the true Demon King of Tyranny.

[Written by MAL Rewrite]",https://myanimelist.net/anime/48417/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou_II/video,https://myanimelist.net/anime/48417/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou_II
NieR:Automata Ver1.1a,2023-01-08,ActionFantasySci-Fi,"? eps,          23 min ","In a post-apocalyptic world overrun by alien-crafted ""Machine Lifeforms,"" humanity is preparing for its last stand. Forced to retreat to the Moon for safety, humans are pinning their hopes on a group of man-made androids known as YoRHa soldiers. Led by the all-purpose battle android YoRHa 2-gou B-gata ""2B,"" the group will fight to take control of the Earth back from its invaders.

As war against the machines rages on, the YoRHa slowly begin to see the first shards of truth underlying the brutal conflict. Facing the harsh reality before her, the unwavering warrior 2B starts to question her very existence and just how much she must sacrifice for the sake of humanity.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51105/NieR_Automata_Ver11a/video,https://myanimelist.net/anime/51105/NieR_Automata_Ver11a
Kubo-san wa Mob wo Yurusanai,2023-01-10,ComedyRomance,"12 eps,          24 min ","Junta Shiraishi is a high school student with one simple goal—to enjoy his youth. However, achieving this goal is not so straightforward since Shiraishi is effectively invisible to his peers; even his teachers routinely fail to notice his presence. In fact, there is a rumor circulating that whoever manages to spot him will receive good luck. 

But there is one person who notices Shiraishi's presence without fail. Seated right next to him, Nagisa Kubo is determined not to let him quietly fade into the background. Unfortunately for him, this means that Shiraishi finds himself in some peculiar situations, all orchestrated by Kubo. Despite this, Kubo's playful antics might just be the catalyst needed to spark the thrilling youth that Shiraishi longs for.

[Written by MAL Rewrite]",https://myanimelist.net/anime/51815/Kubo-san_wa_Mob_wo_Yurusanai/video,https://myanimelist.net/anime/51815/Kubo-san_wa_Mob_wo_Yurusanai
Crayon Shin-chan,1992-04-13,ComedyEcchi,"? eps,          21 min ","There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/966/Crayon_Shin-chan
Golden Kamuy 4th Season,2022-10-03,ActionAdventure,"13 eps,          23 min ","The race to obtain the lost Ainu gold is nearing its peak, as even more formidable ex-prisoners are set on keeping their tattooed skins intact. Saichi ""The Immortal"" Sugimoto and Asirpa can finally move forward together, but Asirpa's time with Kiroranke and Ogata Hyakunosuke has slightly altered her ambition and strengthened her determination. As their party leaves the Russian territory, they gain a peculiar follower.

Meanwhile, Toshizou Hijikata's crew makes major moves to get invaluable skins, falling into the poisonous trap of a dangerous convict. Although each group possesses a strong advantage over the others, even First Lieutenant Tokushirou Tsurumi—the most powerful and ruthless contender—cannot advance without Asirpa's help. However, his ominous plans for when they will inevitably meet remain a mystery.

[Written by MAL Rewrite]",https://myanimelist.net/anime/50528/Golden_Kamuy_4th_Season/video,https://myanimelist.net/anime/50528/Golden_Kamuy_4th_Season
Ayakashi Triangle,2023-01-10,ActionComedyRomanceSupernaturalEcchi,"12 eps,          23 min ","Ayakashi are strange, supernatural creatures invisible to the majority of people. Though most are harmless, some ayakashi attack humans to devour their life force. Exorcist ninjas are tasked with protecting people from these spiteful spirits.

Matsuri Kazamaki is a young exorcist ninja born to a prestigious clan. His childhood friend, Suzu Kanade, is an ayakashi medium—an individual with immense vitality that attracts ayakashi. Matsuri deems all ayakashi threatening and wishes to keep Suzu as far from them as possible, but this clashes with her desire to remain close to them. One day, the pair encounters Shirogane, the ""King of Ayakashi,"" who is hellbent on consuming Suzu. As she is about to be eaten, Matsuri comes to the rescue and manages to seal the ayakashi's powers—but not before Shirogane takes revenge by turning him into a girl!

Until he finds a way to transform back, Matsuri must adjust to his new, peculiar lifestyle while fighting against hostile ayakashi. Moreover, Suzu is now conflicted about her feelings toward Matsuri—further plunging their relationship into a state of ambiguity.

[Written by MAL Rewrite]",https://myanimelist.net/anime/50606/Ayakashi_Triangle/video,https://myanimelist.net/anime/50606/Ayakashi_Triangle
Sazae-san,1969-10-05,ComedySlice of Life,"? eps,          24 min ","The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/2406/Sazae-san
Hirogaru Sky! Precure,2023-02-05,ActionFantasy,"? eps,          24 min ","A major incident in peaceful Skyland?! The infant princess Ellee-chan has been kidnapped by a monster from the Undergu Empire! A brave girl named Sora follows the princess into a strange hole. It leads her to another world called Sorashido City. Televisions? Bicycles? Are these magical devices?!?! There's no time to be surprised! Sora has to take the princess back to the castle as soon as possible! Flying between two worlds! This is the beginning of a Precure adventure! It's hero time!

Source: Toei Animation USA",https://myanimelist.net/anime/53716/Hirogaru_Sky_Precure/video,https://myanimelist.net/anime/53716/Hirogaru_Sky_Precure
Boku to Roboko,2022-12-05,ComedySci-Fi,"28 eps,          3 min ","Robotic OrderMaids are popping up in every household, and 10-year-old Bondo Taira has found out that his two closest friends—Motsuo and Gachi Gorilla—have OrderMaids too. Motsuo, in particular, owns Meico, a beautiful robot that gives excellent massages and serves drinks with a smile. Jealous of his friend, Bondo convinces his mother to get him an OrderMaid, hoping for a similar experience.

However, to Bondo's surprise, the maid that appears outside of his door is incredibly muscular and clumsy enough to destroy a house when completing simple chores. Going by the name Roboko, this new robot is the exact opposite of what Bondo wanted. But despite that, Bondo, together with his friends, learns that there is more to Roboko than they could ever expect. 

[Written by MAL Rewrite]",https://myanimelist.net/anime/51940/Boku_to_Roboko/video,https://myanimelist.net/anime/51940/Boku_to_Roboko
Chibi Maruko-chan (1995),1995-01-08,ComedySlice of Life,"? eps,          23 min ","Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life.

(Source: ANN)",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
Yu☆Gi☆Oh! Go Rush!!,2022-04-03,ActionFantasy,"? eps,          24 min ","After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar.""

One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war.

With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence.

[Written by MAL Rewrite]
",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/50607/Yu☆Gi☆Oh_Go_Rush
Bonobono (TV 2016),2016-04-02,ComedySlice of Life,"? eps,          5 min ","Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more.

Enjoy the easygoing days and minor misadventures of Bonobono and his friends!

(Source: Fuji Creative)",https://myanimelist.net/anime/32353/Bonobono_TV_2016/video,https://myanimelist.net/anime/32353/Bonobono_TV_2016
Ninjala (TV),2022-01-08,Action,"? eps,          23 min ","The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy.

And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... 

(Source: Official Game website)",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/50418/Ninjala_TV
Chiikawa,2022-04-04,Comedy,"? eps,          1 min ","What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)",https://myanimelist.net/anime/50250/Chiikawa/video,https://myanimelist.net/anime/50250/Chiikawa
Shikaru Neko,2021-03-22,Slice of Life,"? eps,          0 min ",(No synopsis yet.),https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/48442/Shikaru_Neko
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,2012-11-16,ComedySlice of Life,"? eps,          2 min ","Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.",https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka/video,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka
Shiawase Haitatsu Taneko,2011-03-26,Comedy,"? eps,          0 min ","The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.)

(Source: ANN)",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko
Uchuu Nanchara Kotetsu-kun,2021-04-07,ComedySci-Fi,"? eps,          10 min ","It follows the daily life of Kotetsu-kun, who aspires to be an astronaut, and friends at the Animal Space Academy as they all pursue their dreams.

(Source: ANN)",https://myanimelist.net/anime/42870/Uchuu_Nanchara_Kotetsu-kun/video,https://myanimelist.net/anime/42870/Uchuu_Nanchara_Kotetsu-kun
Teikou Penguin,2022-01-05,,"? eps,          5 min ","Centers on a penguin who works in an abusive company and gripes about the difficulties of workplace life. The title is a play on the ""koutei penguin,"" the Japanese name for the emperor penguin.

(Source: ANN)",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/50522/Teikou_Penguin
Kirin the Noop,2014-02-06,Adventure,"? eps,          5 min ",A shadow painting anime about a timid giraffe named Noop and his hedgehog companion named Harry as they travel their distant star world helping each other.,https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/35694/Kirin_the_Noop
Manul no Yuube,2018-11-11,Slice of Life,"? eps,          1 min ","Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",https://myanimelist.net/login.php?error=login_required&from=%2Fanime%2Fseason,https://myanimelist.net/anime/38776/Manul_no_Yuube
